t	pi	freq
6580000	0.00079968	0.9996
6600000	0.00179838	0.9991
6620000	0.0105438	0.9947
6640000	0.140957	0.9237
6660000	0	1
6680000	0	1
6700000	0.00179838	0.9991
6720000	0.114031	0.9393
6740000	0.00359352	0.9982
6760000	0.15787	0.9136
6780000	0.0771679	0.0402
6800000	0.456782	0.353
6820000	0.431105	0.3144
6840000	0.383645	0.7412
6860000	0.199377	0.8877
6880000	0.339935	0.2171
6900000	0.113152	0.0602
6920000	0.311256	0.1928
6940000	0.499998	0.499
6960000	0.347869	0.7758
6980000	0.414302	0.293
7000000	0.00439032	0.0022
7020000	0	0
7040000	0.231942	0.1339
7060000	0.162158	0.911
7080000	0.49604	0.5445
7100000	0.431624	0.6849
7120000	0.255699	0.8495
7140000	0.0975161	0.9486
7160000	0	1
7180000	0.419198	0.299
7200000	0.489313	0.5731
7220000	0.00339422	0.9983
7240000	0.109626	0.9418
7260000	0.0252723	0.9872
7280000	0.00079968	0.9996
7300000	0.431624	0.6849
7320000	0.00419118	0.9979
7340000	0.204627	0.1157
7360000	0.499494	0.5159
7380000	0	1
7400000	0.00119928	0.9994
7420000	0.0844927	0.9558
7440000	0	1
7460000	0.230475	0.1329
7480000	0.017838	0.009
7500000	0.250923	0.1471
7520000	0.00339422	0.0017
7540000	0.429688	0.3125
7560000	0.107325	0.0569
7580000	0	0
7600000	0.0229309	0.0116
7620000	0.0233215	0.0118
7640000	0.00379278	0.0019
7660000	0.00059982	0.0003
7680000	0.119459	0.0638
7700000	0.111919	0.0595
7720000	0.0117304	0.9941
7740000	0.322034	0.7983
7760000	0	1
7780000	0.325005	0.7958
7800000	0.462845	0.6363
7820000	0.225015	0.8708
7840000	0.140787	0.9238
7860000	0.0587638	0.9697
7880000	0.0736662	0.9617
7900000	0.170003	0.9062
7920000	0.3745	0.7505
7940000	0.103416	0.9453
7960000	0.470378	0.6217
7980000	0.0089595	0.9955
8000000	0.0647555	0.9665
8020000	0.478617	0.6034
8040000	0.493615	0.5565
8060000	0.0380473	0.0194
8080000	0	0
8100000	0.0555641	0.0286
8120000	0.39466	0.2705
8140000	0	1
8160000	0.446274	0.6639
8180000	0.303185	0.1863
8200000	0.0810214	0.0423
8220000	0	0
8240000	0.0716323	0.0372
8260000	0.00019998	0.0001
8280000	0	0
8300000	0.005982	0.003
8320000	0.0368931	0.0188
8340000	0.0279967	0.0142
8360000	0.073112	0.038
8380000	0.366769	0.2419
8400000	0.4689	0.3753
8420000	0	0
8440000	0.00558432	0.0028
8460000	0.260568	0.154
8480000	0.0299379	0.0152
8500000	0.0745891	0.0388
8520000	0.0797389	0.0416
8540000	0	0
8560000	0	0
8580000	0.491288	0.566
8600000	0	1
8620000	0.408835	0.7135
8640000	0	0
8660000	0.00279608	0.0014
8680000	0.0131129	0.0066
8700000	0.0510271	0.0262
8720000	0	0
8740000	0.386426	0.2617
8760000	0.00079968	0.9996
8780000	0	1
8800000	0.00139902	0.9993
8820000	0.187318	0.8954
8840000	0.184941	0.8969
8860000	0.00239712	0.9988
8880000	0.177114	0.9018
8900000	0.389079	0.7355
8920000	0.00079968	0.9996
8940000	0.341178	0.2182
8960000	0.11911	0.0636
8980000	0.0029955	0.0015
9000000	0.291471	0.1771
9020000	0.496784	0.5401
9040000	0.49833	0.4711
9060000	0.189055	0.8943
9080000	0.139769	0.0756
9100000	0.488989	0.5742
9120000	0.190001	0.8937
9140000	0.0194079	0.9902
9160000	0	1
9180000	0.111214	0.9409
9200000	0.028191	0.9857
9220000	0	1
9240000	0.499859	0.4916
9260000	0	0
9280000	0.0890382	0.0467
9300000	0.0254672	0.0129
9320000	0.0192118	0.0097
9340000	0.0669918	0.0347
9360000	0.0209753	0.0106
9380000	0.482515	0.4065
9400000	0.0109395	0.0055
9420000	0.217999	0.1245
9440000	0.0135075	0.0068
9460000	0.2688	0.84
9480000	0.00059982	0.9997
9500000	0.0125206	0.9937
9520000	0.485989	0.5837
9540000	0.472809	0.3834
9560000	0.0209753	0.0106
9580000	0.160512	0.088
9600000	0	0
9620000	0.0864958	0.0453
9640000	0.0502687	0.0258
9660000	0.0152814	0.0077
9680000	0	0
9700000	0.477316	0.3935
9720000	0.301046	0.1846
9740000	0.10555	0.0559
9760000	0	0
9780000	0.00019998	0.0001
9800000	0.025662	0.013
