t	pi	freq
13025	0	0
13050	0	0
13075	0	0
13100	0	0
13125	0	0
13150	0	0
13175	0	0
13200	0.00059982	0.0003
13225	0	0
13250	0	0
13275	0.00019998	0.0001
13300	0	0
13325	0	0
13350	0	0
13375	0.00019998	0.0001
13400	0.00059982	0.0003
13425	0.00059982	0.0003
13450	0.001998	0.001
13475	0.00059982	0.0003
13500	0.00059982	0.0003
13525	0	0
13550	0	0
13575	0.00079968	0.0004
13600	0.00039992	0.0002
13625	0	0
13650	0	0
13675	0.0009995	0.0005
13700	0	0
13725	0	0
13750	0.00019998	0.0001
13775	0	0
13800	0	0
13825	0	0
13850	0	0
13875	0	0
13900	0.0009995	0.0005
13925	0	0
13950	0	0
13975	0	0
14000	0.00019998	0.0001
14025	0.00019998	0.0001
14050	0.00019998	0.0001
14075	0.00039992	0.0002
14100	0.00039992	0.0002
14125	0	0
14150	0	0
14175	0	0
14200	0	0
14225	0.00039992	0.0002
14250	0	0
14275	0.00019998	0.0001
14300	0	0
14325	0	0
14350	0	0
14375	0	0
14400	0.00079968	0.0004
14425	0	0
14450	0.00019998	0.0001
14475	0.00059982	0.0003
14500	0	0
14525	0	0
14550	0	0
14575	0.00039992	0.0002
14600	0	0
14625	0	0
14650	0.00019998	0.0001
14675	0.00059982	0.0003
14700	0.00059982	0.0003
14725	0.00019998	0.0001
14750	0.00019998	0.0001
14775	0	0
14800	0	0
14825	0	0
14850	0.00039992	0.0002
14875	0.00019998	0.0001
14900	0.00019998	0.0001
14925	0	0
14950	0	0
14975	0	0
15000	0	0
15025	0	0
15050	0	0
15075	0	0
15100	0	0
15125	0	0
15150	0.00059982	0.0003
15175	0	0
15200	0	0
15225	0	0
15250	0	0
15275	0.00079968	0.0004
15300	0.00019998	0.0001
15325	0	0
15350	0.00019998	0.0001
15375	0	0
15400	0	0
15425	0.00019998	0.0001
15450	0	0
15475	0	0
15500	0.00059982	0.0003
15525	0.00039992	0.0002
15550	0.00059982	0.0003
15575	0	0
15600	0	0
15625	0	0
15650	0	0
15675	0.001998	0.001
15700	0.00079968	0.0004
15725	0	0
15750	0.00019998	0.0001
15775	0	0
15800	0	0
15825	0	0
15850	0	0
15875	0	0
15900	0.00019998	0.0001
15925	0	0
15950	0	0
15975	0.00019998	0.0001
16000	0.00059982	0.0003
16025	0.00039992	0.0002
16050	0.00039992	0.0002
16075	0.00079968	0.0004
16100	0.00059982	0.0003
16125	0.00019998	0.0001
16150	0.00079968	0.0004
16175	0	0
16200	0	0
16225	0	0
16250	0	0
16275	0	0
16300	0	0
16325	0.00079968	0.0004
16350	0	0
16375	0	0
16400	0	0
16425	0	0
16450	0	0
16475	0	0
16500	0.00079968	0.0004
16525	0	0
16550	0	0
16575	0	0
16600	0	0
16625	0	0
16650	0	0
16675	0	0
16700	0.001998	0.001
16725	0.00039992	0.0002
16750	0	0
16775	0	0
16800	0	0
16825	0.00059982	0.0003
16850	0	0
16875	0.00019998	0.0001
16900	0.00019998	0.0001
16925	0.00019998	0.0001
16950	0.0009995	0.0005
16975	0.00019998	0.0001
17000	0.00039992	0.0002
17025	0.00039992	0.0002
17050	0	0
17075	0	0
17100	0	0
17125	0	0
17150	0.00019998	0.0001
17175	0	0
17200	0	0
17225	0.00019998	0.0001
17250	0	0
17275	0.00039992	0.0002
17300	0	0
17325	0	0
17350	0.00019998	0.0001
17375	0.00019998	0.0001
17400	0.00019998	0.0001
17425	0.00039992	0.0002
17450	0	0
17475	0	0
17500	0	0
17525	0	0
17550	0	0
17575	0.00039992	0.0002
17600	0.0009995	0.0005
17625	0	0
17650	0	0
17675	0.00039992	0.0002
17700	0	0
17725	0	0
17750	0	0
17775	0	0
17800	0	0
17825	0.00019998	0.0001
17850	0	0
17875	0	0
17900	0	0
17925	0.00019998	0.0001
17950	0	0
17975	0.00019998	0.0001
18000	0	0
18025	0	0
18050	0	0
18075	0	0
18100	0	0
18125	0	0
18150	0	0
18175	0	0
18200	0.00039992	0.0002
18225	0.00079968	0.0004
18250	0	0
18275	0	0
18300	0.00019998	0.0001
18325	0	0
18350	0	0
18375	0	0
18400	0	0
18425	0.0009995	0.0005
18450	0.00079968	0.0004
18475	0.00039992	0.0002
18500	0	0
18525	0	0
18550	0	0
18575	0	0
18600	0	0
18625	0.00039992	0.0002
18650	0	0
18675	0	0
18700	0	0
18725	0	0
18750	0	0
18775	0.00119928	0.0006
18800	0.00079968	0.0004
18825	0	0
18850	0.00039992	0.0002
18875	0	0
18900	0.00059982	0.0003
18925	0	0
18950	0	0
18975	0	0
19000	0	0
19025	0	0
19050	0	0
19075	0	0
19100	0	0
19125	0	0
19150	0	0
19175	0.00039992	0.0002
19200	0.00039992	0.0002
19225	0.00019998	0.0001
19250	0	0
19275	0	0
19300	0	0
19325	0	0
19350	0	0
19375	0	0
19400	0	0
19425	0	0
19450	0	0
19475	0	0
19500	0.00039992	0.0002
19525	0	0
19550	0	0
19575	0	0
19600	0	0
19625	0.00019998	0.0001
19650	0	0
19675	0	0
19700	0	0
19725	0	0
19750	0	0
19775	0	0
19800	0	0
19825	0	0
19850	0	0
19875	0.0009995	0.0005
19900	0	0
19925	0	0
19950	0	0
19975	0	0
20000	0	0
20025	0.00039992	0.0002
20050	0	0
20075	0.00059982	0.0003
20100	0	0
20125	0	0
20150	0	0
20175	0.00039992	0.0002
20200	0.00039992	0.0002
20225	0	0
20250	0	0
20275	0	0
20300	0.00039992	0.0002
20325	0	0
20350	0	0
20375	0	0
20400	0	0
20425	0	0
20450	0	0
20475	0	0
20500	0	0
20525	0	0
20550	0.00059982	0.0003
20575	0	0
20600	0	0
20625	0	0
20650	0.00019998	0.0001
20675	0	0
20700	0	0
20725	0	0
20750	0.00159872	0.0008
20775	0.00039992	0.0002
20800	0	0
20825	0.00039992	0.0002
20850	0	0
20875	0.00039992	0.0002
20900	0	0
20925	0.00059982	0.0003
20950	0	0
20975	0.0009995	0.0005
21000	0.00059982	0.0003
21025	0	0
21050	0	0
21075	0	0
21100	0	0
21125	0	0
21150	0	0
21175	0	0
21200	0	0
21225	0	0
21250	0.00059982	0.0003
21275	0.00019998	0.0001
21300	0.00019998	0.0001
21325	0	0
21350	0	0
21375	0.00039992	0.0002
21400	0.00039992	0.0002
21425	0.00079968	0.0004
21450	0.00019998	0.0001
21475	0	0
21500	0.00019998	0.0001
21525	0	0
21550	0	0
21575	0	0
21600	0.00079968	0.0004
21625	0	0
21650	0	0
21675	0	0
21700	0	0
21725	0	0
21750	0.00059982	0.0003
21775	0	0
21800	0	0
21825	0.00019998	0.0001
21850	0	0
21875	0	0
21900	0	0
21925	0	0
21950	0	0
21975	0	0
22000	0	0
22025	0	0
22050	0.00039992	0.0002
22075	0	0
22100	0	0
22125	0	0
22150	0	0
22175	0.0009995	0.0005
22200	0	0
22225	0	0
22250	0	0
22275	0.00019998	0.0001
22300	0	0
22325	0.00079968	0.0004
22350	0	0
22375	0	0
22400	0	0
22425	0.00139902	0.0007
22450	0.00079968	0.0004
22475	0	0
22500	0	0
22525	0.00039992	0.0002
22550	0	0
22575	0.00039992	0.0002
22600	0	0
22625	0	0
22650	0.00039992	0.0002
22675	0	0
22700	0	0
22725	0	0
22750	0	0
22775	0.00119928	0.0006
22800	0	0
22825	0	0
22850	0	0
22875	0	0
22900	0.00039992	0.0002
22925	0	0
22950	0.00059982	0.0003
22975	0.00039992	0.0002
23000	0	0
23025	0.00039992	0.0002
23050	0	0
23075	0	0
23100	0	0
23125	0	0
23150	0.00019998	0.0001
23175	0	0
23200	0	0
23225	0	0
23250	0	0
23275	0.00039992	0.0002
23300	0	0
23325	0	0
23350	0.00019998	0.0001
23375	0	0
23400	0	0
23425	0	0
23450	0	0
23475	0.00019998	0.0001
23500	0	0
23525	0	0
23550	0	0
23575	0	0
23600	0.00019998	0.0001
23625	0	0
23650	0	0
23675	0	0
23700	0.00019998	0.0001
23725	0.00019998	0.0001
23750	0.00019998	0.0001
23775	0	0
23800	0.00079968	0.0004
23825	0.00039992	0.0002
23850	0	0
23875	0	0
23900	0	0
23925	0	0
23950	0.00079968	0.0004
23975	0	0
24000	0.00019998	0.0001
24025	0	0
24050	0	0
